Date,Akagera STD,OLD MUTUAL,Virunga Lodge HP POC,BK HQ,BK HP II,Mille Collines,Akagera HP,Starbucks,Question Coffee,Hotel Talent Pool,Old Mutual,Kiss FM,Royal FM,AVIPRO,Prime Insurance,Kivu Noir Cafe,Jibu,WiredIn,Alliance for Healthy Communities,AmaliTech,Tropical Plaza,Hill View Hotel,Caferwa - Kivu Noir KSEZ
18-May,17,5,4.8,0,0,0,33,13,15,8.9,5,3.7,4.4,10,0,44,1.6,0,3.7,1.3,43,0,0
19-May,24,86,7.3,0.1,0.1,0,71,28,37,8.4,86,34,60,60,0,70,30,0.1,20,67,53,0,0
20-May,16,148,8.7,0,0,0,59,28,42,1.4,148,33,18,35,0,68,38,0.1,30,112,44,26,0
21-May,21,150,2.9,0,0,0,71,51,46,7.1,150,27,43,32,0,120,30,0.1,26,72,44,71,0
22-May,18,153,2.3,0,0.3,0,70,31,57,0.1,153,29,55,58,0,99,30,0.1,32,1.8,51,51,0.7
23-May,10,127,3.2,0,0,0,90,24,61,0.1,127,41,68,37,0,103,25,0.3,25,4.3,41.6,45,0.8
24-May,22,8.2,2.2,0,0,0,54,14,17,5.3,8.2,6.1,61,5.6,0,21.9,0,0,2.2,0.1,40,56,0
25-May,17,19,2.6,0,0,0,43,8,10,6.8,19,4.6,17,5.1,0,13,0.5,0,10,0.1,28,34,0
26-May,35,123,2.8,0,0,0,77,43,53,7.4,123,44,52,42,0,13,58,0.1,29,113,48,30,0.1
27-May,32,132,2.2,0,0,0.2,86,48,34,4.8,132,25,54,41,6.3,9.5,27,9.5,23,29,60,33,0.5
28-May,22,139,2.8,0,0,0,88,43,43,9.1,139,26,72,59,141,10,30,52,32,26,47,56,2.9
29-May,14,135,3.6,0,0,0,74,46,41,5.2,135,32,46,45,0,5.9,26,3.7,50,6.9,39,43,0.8
30-May,15,137,2.3,0.1,0,0,64,25,47,9,137,37,76,41,0,110,42,22,27,36,23,78.4,4.1
31-May,17,12,1.1,0,0,0,49,14,15,7.6,12,6.7,16,7.8,0,49,1,0.2,6.9,0.1,25,37,1.3
1-Jun,13,26,1.3,0,0,0,33,10,14,9,26,7.3,34,4.6,0,62,2,0.2,23,0,26,52,0.7
